Id,Name,Type,UnitPrice
e422119e-295d-42d8-8633-1e44db4c6aa6,Strawberry cake,Cake,6000
0a0a0cc8-0516-4c91-9383-421ac3300b53,Americano,Coffee,3000
fa9a0f38-83a2-40b0-99bf-a4b00e3a4a6e,Strawberry cake,Cake,6000
7538e346-47f1-4800-a694-a336625e33ff,Latte,Coffee,3500
37c8cc85-8f1f-45a9-8bdd-437a2406bbf8,Strawberry cake,Cake,6000
2a0512a0-79f0-4530-80f9-545a7b70d2cc,Americano,Coffee,3000
5f0b893d-ca01-467b-bce5-06326803d734,Chocolate cake,Cake,5500
b16cb2a1-2b58-49e3-bd03-5d0908c41350,Espresso,Coffee,2500
0f381ad3-1117-4602-892e-3d02f2516e60,Mango juice,Juice,4500
24c9930c-ba58-4b24-ad9d-dd4af47142e7,Mango juice,Juice,4500
266d66ba-016a-4829-bd8f-2113a0b16a8f,Chocolate cake,Cake,5500
b6f8a89e-12b2-43cb-ba49-f76e001b0401,Mango juice,Juice,4500
14263fa9-9fb7-49d1-8fc7-963d52ba8027,Espresso,Coffee,2500
53f58855-a978-4b4f-8558-463caef53949,Mango juice,Juice,4500
73182635-0b53-4fcd-bcde-085fd938595e,Espresso,Coffee,2500
0354a9ac-d9b2-477a-8158-61c0ef699e95,Latte,Coffee,3500
cdbc9706-a38c-404b-aafd-765a142be7e2,Mango juice,Juice,4500
c436d2f3-c1e1-4b4b-bbe7-5408c36fcb68,Espresso,Coffee,2500
c0dbae96-cf4a-4170-9510-6c9cab50e3ec,Mango juice,Juice,4500
68100044-673f-43c9-8019-4a41c37beb10,Mango juice,Juice,4500
