Id,Name,Type,Address
37cfd93a-9c14-44a9-b56b-b6d17af4e10d,이디야 상도9호점,이디야,서울 동작구 77길 56
790a88c3-3e91-4484-871b-da2abb9e4bb7,스타벅스 중앙로7호점,스타벅스,대전 중구 11길 90
2766ef88-eb9d-485c-86c6-f44ab035df2f,스타벅스 이월드10호점,스타벅스,대구 달서구 83길 35
30e515ee-fec0-49a3-978f-264355180448,커피빈 해운대7호점,커피빈,부산 해운대구 11로 11
96f97abd-9e6d-4ed7-bf20-c921042a3255,스타벅스 송도7호점,스타벅스,인천 연수구 9길 16
5d021180-9747-432c-9547-afddd669ef21,커피빈 이월드1호점,커피빈,대구 달서구 59길 25
48174b9e-2b31-47e1-b4fd-7ecb2e196128,스타벅스 잠실3호점,스타벅스,서울 송파구 73로 29
cb98b37f-faa6-46e1-be7a-29cd885596f7,스타벅스 해운대9호점,스타벅스,부산 해운대구 45길 53
70cb2a71-864d-4438-8240-86be8f1f2866,투썸플레이스 중앙로7호점,투썸플레이스,대전 중구 39로 76
5e15fcf2-f7ab-4569-ad67-85239387db8f,커피빈 이월드6호점,커피빈,대구 달서구 68로 87
df2102d0-37d3-4391-b118-8f5d35ca3b64,이디야 이월드7호점,이디야,대구 달서구 18길 89
a0041504-fab9-421a-adc3-bf81f4753755,스타벅스 송도1호점,스타벅스,인천 연수구 59길 62
b12af9f3-152a-43db-a1cb-53571daefdbc,스타벅스 잠실5호점,스타벅스,서울 송파구 2길 78
9dddeace-3178-42c7-aa0a-f5df6e37cd9c,스타벅스 이월드4호점,스타벅스,대구 달서구 78길 72
d7095a74-7fe8-4f51-8af0-2ea6ddb28bdc,커피빈 송도10호점,커피빈,인천 연수구 73길 2
6feef540-219e-470f-bb13-46854dd214de,이디야 송도2호점,이디야,인천 연수구 35길 20
dacfbd86-28e1-40c6-b87f-e00728dfa4d5,투썸플레이스 송도4호점,투썸플레이스,인천 연수구 10로 85
0a939f3b-4212-4773-8e1b-ff421a9c4e4a,커피빈 부평1호점,커피빈,인천 부평구 82길 33
5cc338ac-f2a6-472a-8cd2-18f1273e21a3,커피빈 해운대8호점,커피빈,부산 해운대구 17로 54
8f657aeb-fa52-41e1-9dac-9cffc2b7d350,스타벅스 강남10호점,스타벅스,서울 강남구 38길 70
5b9db946-01ff-46e6-adc3-20f4e3429265,스타벅스 중앙로4호점,스타벅스,대전 중구 1길 29
f3cfbd5b-e11a-4f14-bbae-5ed28981fa77,투썸플레이스 상도3호점,투썸플레이스,서울 동작구 55로 5
7929c932-1c18-4415-a972-aef2893abff8,커피빈 중앙로6호점,커피빈,대전 중구 27로 83
51dcd989-8e0e-49c7-ad4e-bc684136ad50,스타벅스 중앙로4호점,스타벅스,대전 중구 8로 38
140f368b-cab0-46c0-a544-0a8ffd824c1c,이디야 잠실4호점,이디야,서울 송파구 12로 62
94e9c85e-6f0f-4266-b1b9-e8e6bc0fd207,스타벅스 부평1호점,스타벅스,인천 부평구 22로 32
c5c2944d-242e-496c-bb92-dec79f6a0ed0,커피빈 이월드9호점,커피빈,대구 달서구 86로 30
3b9eea7a-9508-46f6-9929-d16962667f72,투썸플레이스 중앙로5호점,투썸플레이스,대전 중구 82길 10
521ec1b3-c7f8-46f0-94d2-d69177c80426,이디야 중앙로9호점,이디야,대전 중구 41길 21
28934f22-630d-4335-9834-6719d7873538,이디야 이월드5호점,이디야,대구 달서구 48로 83
fde99320-e2aa-41d1-a93b-a9e2197bd480,투썸플레이스 중앙로2호점,투썸플레이스,대전 중구 18길 71
d4284c1d-0b05-4f5f-872b-bb45007b988d,이디야 이월드9호점,이디야,대구 달서구 6길 25
