Id,OrderAt,StoreId,UserId
ff7aa381-ad4f-4188-9d86-2ac131486d94,2023-02-26 10:06:55,cfeafafe-601f-4306-b27b-66a741d63d29,f8e9f50a-8262-4f53-990b-1f9dfe85711d
7061dcf8-6c21-44a8-898d-712b742409cb,2023-08-14 00:12:54,b6ea5d93-ebf9-40dd-b8c1-eaf6000d51fb,b7c87283-eca2-43f7-946e-592072c897dc
3274ede7-8d7e-4a95-ae9d-548f59ed05d1,2023-06-24 07:33:55,7da430bd-9a37-4ffe-b34b-b83a58b3dc2b,110c0eb7-99f1-4567-ad43-2f3259302d72
f77084f6-13bc-49ef-bdee-7228acbb6840,2023-04-02 10:12:37,605706b5-b19f-4842-a8a7-4e97d2733110,bd968a45-144a-41b0-a9bf-0d96917dc659
f187389b-f6c4-43a4-8785-4242074e3651,2023-08-13 04:27:12,3ae45ef9-07cd-4a49-9634-8e64b22bb53d,adcc29c2-47f2-4b56-abb1-1f9002e2da60
4ce6ad17-61fa-4f0a-8206-802a0bc62c05,2023-12-29 23:14:37,bcbb7f0b-7072-4b30-a500-07e3c53f601c,86ad20b9-124a-4058-bf29-52d0d22bc318
07ddfe5c-213d-49b6-b6a0-8a2f7f30b5a8,2023-04-26 23:50:07,49dc1c8c-3477-4115-abfe-86a2041a09f9,d3adca79-d1aa-4f1a-aaa0-f8418788396b
57202046-60ec-410e-a88f-be9a66d4eba8,2023-03-30 08:31:30,96c3a4e0-5d47-4082-892d-2368471e4bd6,86ab0b9d-7d30-4bf5-a4eb-9f558c5b808f
d81450ba-3a0f-4de4-81d0-a446f917b997,2023-05-27 02:08:29,39517348-7f17-407f-b3cd-915e9bc42e78,eeeb5b14-af77-4113-a67e-29cdf0c6d972
9f738430-8458-42ed-b92e-936749ca9ef0,2023-01-05 22:49:58,d25cb0e9-481b-4967-a447-43efa3b5b787,15834f81-9b95-4a08-9692-720883fd75ac
bd915a8a-d744-476e-ae75-4f95cbe70822,2023-07-29 08:13:55,6b2bace2-51c2-4a02-b97b-78c64dc2696f,e2ab3621-2bdf-43b7-ae19-906ff900fae1
0e5ffa18-d05a-4732-a88d-ed0ba53fd761,2023-12-23 17:56:21,49dc1c8c-3477-4115-abfe-86a2041a09f9,8ee4a59d-b443-47ca-bae0-476e8786399f
ad263f19-82c6-4c91-9b17-32da4c3a6081,2023-04-19 01:33:30,6ae33512-66eb-4ac0-9fbf-c86c6d1c23fb,f550a4d6-fd2a-4650-8bee-56363b8b34da
7e393ff3-60c7-41be-b2e3-0419e84d1302,2023-04-05 10:05:42,eb25a00f-4bf4-4df1-87cc-3572f81a54b1,ac71449a-1b6c-4c1a-b497-07d2ea700d8a
bc122686-4446-492d-88c1-4ff79468ccb3,2023-10-27 03:40:41,f90aad5e-1613-4bf2-a609-1b70d9bc6d51,475bad09-37c1-4a7e-844f-dc00e2ddc8ef
687731bc-0f41-4266-86ca-f844def7c21a,2023-02-19 16:18:56,7bc612d0-e514-4653-aa76-db9f630d5d9f,601f3968-a648-461a-bd91-4825e4226ff0
6396db92-aba6-47d7-b48f-db12c8150964,2023-05-14 08:58:10,e140b6c0-f763-4e31-abe4-306fd79cabbb,4958e831-4137-43b7-9b68-d65f2dd37551
b93b9120-3d71-48d2-9abf-93f02131b30b,2023-07-18 17:27:31,c756a682-c827-4cc4-a464-6031efd0ea5c,417cfb13-7fac-4bf3-9970-f651291b3f51
dc7e01b9-6090-4a60-8ba6-92018fdca375,2023-01-02 21:19:52,65decc07-17ee-463e-9b48-fb4520361e7f,8e9c2d31-63ac-4a6a-ae51-3f39de1c2bb9
f36e9843-2931-422c-839c-ddc968730d3a,2023-11-28 02:20:43,9d67d719-e54d-4532-b0f1-db35fede71f9,746bd76a-c979-427d-8352-7bf48a0e1230
b607bc4d-10ea-42e9-9f5b-eb5d88f00141,2023-02-14 01:18:51,d870942f-cd47-4525-a70c-e6cf6d006089,ad8df557-965e-41fc-b966-72a67223362d
